[03:16:20] [INFO] received Windows console close event; shutting log-core down
[03:19:34] [INFO] received Windows console close event; shutting log-core down
[04:04:37] [INFO] received Windows console close event; shutting log-core down
[04:10:05] [INFO] received Windows console close event; shutting log-core down
[04:12:56] [INFO] received Windows console close event; shutting log-core down
[04:24:54] [INFO] received Windows console close event; shutting log-core down
[04:26:03] [INFO] received Windows console close event; shutting log-core down
[04:29:16] [INFO] received Windows console close event; shutting log-core down
[04:31:47] [INFO] received Windows console close event; shutting log-core down
[04:32:44] [INFO] received Windows console close event; shutting log-core down
[04:39:20] [INFO] received Windows console close event; shutting log-core down
[04:48:13] [INFO] received Windows console close event; shutting log-core down
[04:49:05] [INFO] received Windows console close event; shutting log-core down
[04:49:23] [INFO] received Windows console close event; shutting log-core down
[04:57:58] [INFO] received Windows console close event; shutting log-core down
[05:00:38] [INFO] received Windows console close event; shutting log-core down
[05:07:08] [INFO] received Windows console close event; shutting log-core down
[05:09:40] [INFO] received Windows console close event; shutting log-core down
[05:24:07] [INFO] received Windows console close event; shutting log-core down
[07:06:38] [INFO] received Windows console close event; shutting log-core down
[08:18:23] [INFO] received Windows console close event; shutting log-core down
[08:20:29] [INFO] received Windows console close event; shutting log-core down
[08:21:40] [INFO] received Windows console close event; shutting log-core down
[06:47:00] [INFO] received Windows console close event; shutting log-core down
[06:48:22] [INFO] received Windows console close event; shutting log-core down
[06:50:30] [INFO] received Windows console close event; shutting log-core down
[06:53:44] [INFO] received Windows console close event; shutting log-core down
[10:03:16] [INFO] received Windows console close event; shutting log-core down
[10:22:39] [INFO] received Windows console close event; shutting log-core down
[11:23:54] [INFO] received Windows console close event; shutting log-core down
[11:25:07] [INFO] received Windows console close event; shutting log-core down
[11:27:57] [INFO] received Windows console close event; shutting log-core down
[11:32:03] [INFO] received Windows console close event; shutting log-core down
[11:35:49] [INFO] received Windows console close event; shutting log-core down
[11:38:01] [INFO] received Windows console close event; shutting log-core down
[11:40:40] [INFO] received Windows console close event; shutting log-core down
[11:56:28] [INFO] received Windows console close event; shutting log-core down
[12:27:07] [INFO] received Windows console close event; shutting log-core down
[12:33:12] [INFO] received Windows console close event; shutting log-core down
[13:00:07] [INFO] received Windows console close event; shutting log-core down
[13:02:25] [INFO] received Windows console close event; shutting log-core down
[13:21:11] [INFO] received Windows console close event; shutting log-core down
[13:25:35] [INFO] received Windows console close event; shutting log-core down
[13:28:53] [INFO] received Windows console close event; shutting log-core down
[13:41:12] [INFO] received Windows console close event; shutting log-core down
[13:45:00] [INFO] received Windows console close event; shutting log-core down
[13:46:50] [INFO] received Windows console close event; shutting log-core down
[13:48:30] [INFO] received Windows console close event; shutting log-core down
[13:54:50] [INFO] received Windows console close event; shutting log-core down
[15:30:34] [INFO] received Windows console close event; shutting log-core down
[15:31:55] [INFO] received Windows console close event; shutting log-core down
[15:34:21] [INFO] received Windows console close event; shutting log-core down
[15:37:02] [INFO] received Windows console close event; shutting log-core down
[15:41:06] [INFO] received Windows console close event; shutting log-core down
[15:44:52] [INFO] received Windows console close event; shutting log-core down
[15:47:46] [INFO] received Windows console close event; shutting log-core down
[15:56:57] [INFO] received Windows console close event; shutting log-core down
